Mesa_Num,Mesa_ID,Ruta,Estado
1,103764,ACTAS/Argentina/Buenos Aires/Escobar-Esc. Secundaria Basica Nº23/mesa_1_103764.jpg,OK
11,102974,ACTAS/Argentina/Buenos Aires/Esc. Secundaria Basica Nº4/mesa_11_102974.jpg,OK
5,103804,ACTAS/Argentina/Buenos Aires/Escobar-Esc. Secundaria Basica Nº23/mesa_5_103804.jpg,OK
4,103794,ACTAS/Argentina/Buenos Aires/Escobar-Esc. Secundaria Basica Nº23/mesa_4_103794.jpg,OK
6,103814,ACTAS/Argentina/Buenos Aires/Escobar-Esc. Secundaria Basica Nº23/mesa_6_103814.jpg,OK
3,103784,ACTAS/Argentina/Buenos Aires/Escobar-Esc. Secundaria Basica Nº23/mesa_3_103784.jpg,OK
1,101704,ACTAS/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_1_101704.jpg,OK
8,103834,ACTAS/Argentina/Buenos Aires/Escobar-Esc. Secundaria Basica Nº23/mesa_8_103834.jpg,OK
2,101714,ACTAS/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_2_101714.jpg,OK
7,103824,ACTAS/Argentina/Buenos Aires/Escobar-Esc. Secundaria Basica Nº23/mesa_7_103824.jpg,OK
3,101724,ACTAS/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_3_101724.jpg,OK
4,101734,ACTAS/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_4_101734.jpg,OK
5,101744,ACTAS/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_5_101744.jpg,OK
6,101754,ACTAS/Argentina/Buenos Aires/Escuela de Educacion Media N° 4  De 19  Homero Manzi/mesa_6_101754.jpg,OK
1,102354,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_1_102354.jpg,OK
2,102364,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_2_102364.jpg,OK
3,102374,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_3_102374.jpg,OK
4,102294,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_4_102294.jpg,OK
5,102304,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_5_102304.jpg,OK
6,102314,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_6_102314.jpg,OK
7,102324,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_7_102324.jpg,OK
8,102334,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_8_102334.jpg,OK
9,102344,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_9_102344.jpg,OK
