Mesa_Num,Mesa_ID,Ruta,Estado
3,1003671,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_3_1003671.jpg,Ya descargado
8,8004931,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_8_8004931.jpg,Ya descargado
19,8005961,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_19_8005961.jpg,Ya descargado
6,1006601,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_6_1006601.jpg,Ya descargado
2,1003661,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_2_1003661.jpg,Ya descargado
7,8004921,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_7_8004921.jpg,Ya descargado
18,8005951,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_18_8005951.jpg,Ya descargado
8,1001261,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_8_1001261.jpg,Ya descargado
1,1005071,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Universidad del Valle UNIVALLE/mesa_1_1005071.jpg,Ya descargado
1,1003651,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Juanillo/mesa_1_1003651.jpg,Ya descargado
6,8004911,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_6_8004911.jpg,Ya descargado
17,8005941,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_17_8005941.jpg,Ya descargado
17,1004411,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_17_1004411.jpg,Ya descargado
5,8004901,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_5_8004901.jpg,Ya descargado
16,8005931,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_16_8005931.jpg,Ya descargado
9,1001271,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_9_1001271.jpg,Ya descargado
7,1006611,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_7_1006611.jpg,Ya descargado
16,1004401,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_16_1004401.jpg,Ya descargado
4,8004891,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_4_8004891.jpg,Ya descargado
15,8005921,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_15_8005921.jpg,Ya descargado
15,1004391,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_15_1004391.jpg,Ya descargado
3,8004881,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_3_8004881.jpg,Ya descargado
14,8005911,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_14_8005911.jpg,Ya descargado
10,1001281,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_10_1001281.jpg,Ya descargado
8,1006621,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_8_1006621.jpg,Ya descargado
14,1004381,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_14_1004381.jpg,Ya descargado
2,8004871,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_2_8004871.jpg,Ya descargado
13,8005901,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_13_8005901.jpg,Ya descargado
13,1004371,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_13_1004371.jpg,Ya descargado
1,8004861,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/Unidad Educativa Nataniel García Chavez/mesa_1_8004861.jpg,Ya descargado
12,8005891,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_12_8005891.jpg,Ya descargado
11,1001291,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_11_1001291.jpg,Ya descargado
9,1006631,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_9_1006631.jpg,Ya descargado
12,1004361,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_12_1004361.jpg,Ya descargado
7,8004571,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E.Jhon Fitzgerald Kennedy/mesa_7_8004571.jpg,Ya descargado
11,8005881,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_11_8005881.jpg,Ya descargado
11,1004351,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_11_1004351.jpg,Ya descargado
6,8004561,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E.Jhon Fitzgerald Kennedy/mesa_6_8004561.jpg,Ya descargado
10,8005871,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_10_8005871.jpg,Ya descargado
12,1001301,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Eduardo Abaroa/mesa_12_1001301.jpg,Ya descargado
10,1006641,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_10_1006641.jpg,Ya descargado
10,1004341,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_10_1004341.jpg,Ya descargado
5,8004551,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E.Jhon Fitzgerald Kennedy/mesa_5_8004551.jpg,Ya descargado
9,8005861,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_9_8005861.jpg,Ya descargado
9,1004331,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_9_1004331.jpg,Ya descargado
4,8004541,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E.Jhon Fitzgerald Kennedy/mesa_4_8004541.jpg,Ya descargado
8,8005851,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_8_8005851.jpg,Ya descargado
1,1004031,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Ernesto Che Guevara/mesa_1_1004031.jpg,Ya descargado
11,1006651,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_11_1006651.jpg,Ya descargado
8,1004321,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_8_1004321.jpg,Ya descargado
3,8004531,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E.Jhon Fitzgerald Kennedy/mesa_3_8004531.jpg,Ya descargado
7,8005841,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_7_8005841.jpg,Ya descargado
7,1004311,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_7_1004311.jpg,Ya descargado
2,8004521,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E.Jhon Fitzgerald Kennedy/mesa_2_8004521.jpg,Ya descargado
6,8005831,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_6_8005831.jpg,Ya descargado
2,1004041,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Ernesto Che Guevara/mesa_2_1004041.jpg,Ya descargado
12,1006661,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_12_1006661.jpg,Ya descargado
6,1004301,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_6_1004301.jpg,Ya descargado
1,8004511,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E.Jhon Fitzgerald Kennedy/mesa_1_8004511.jpg,Ya descargado
5,8005821,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_5_8005821.jpg,Ya descargado
5,1004291,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_5_1004291.jpg,Ya descargado
13,8004391,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. San Jose Obrero/mesa_13_8004391.jpg,Ya descargado
4,8005811,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_4_8005811.jpg,Ya descargado
3,1004051,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Ernesto Che Guevara/mesa_3_1004051.jpg,Ya descargado
13,1006671,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_13_1006671.jpg,Ya descargado
4,1004281,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_4_1004281.jpg,Ya descargado
12,8004381,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. San Jose Obrero/mesa_12_8004381.jpg,Ya descargado
3,8005801,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_3_8005801.jpg,Ya descargado
3,1004271,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_3_1004271.jpg,Ya descargado
11,8004371,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. San Jose Obrero/mesa_11_8004371.jpg,Ya descargado
2,8005791,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_2_8005791.jpg,Ya descargado
4,1004061,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Ernesto Che Guevara/mesa_4_1004061.jpg,Ya descargado
14,1006681,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/U.E. Gastón Vilar Casso/mesa_14_1006681.jpg,Ya descargado
2,1004261,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_2_1004261.jpg,Ya descargado
10,8004361,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. San Jose Obrero/mesa_10_8004361.jpg,Ya descargado
1,8005781,ACTAS/BOLIVIA/Beni/Vaca Diez/Riberalta/Riberalta/U.E. Litoral/mesa_1_8005781.jpg,Ya descargado
1,1004251,ACTAS/BOLIVIA/Chuquisaca/Oropeza/Sucre/Sucre/Esc. San Javier/mesa_1_1004251.jpg,Ya descargado
